parent,culprit,correction
http://fieldnotes.makingandknowing.org/mainSpace/Nicole%20Basile%20-%20Field%20Notes%20SP17.html,http://fieldnotes.makingandknowing.org/mainSpace/Basile-BreadMolds-SP17.html,http://fieldnotes.makingandknowing.org/mainSpace/Basile-BreadMolding-SP17.html
http://fieldnotes.makingandknowing.org/mainSpace/Spring%202017%20Digital%20Archive.html,http://fieldnotes.makingandknowing.org/mainSpace/.htmlDH%20Field%20Notes%20-%20Spring%202017,http://fieldnotes.makingandknowing.org/mainSpace/DH%20Field%20Notes%20-%20Spring%202017.html
http://fieldnotes.makingandknowing.org/mainSpace/Fall%202016%20Archive.html,http://fieldnotes.makingandknowing.org/mainSpace/Sau-yi%20Fong%20-%20Field%20Notes%20FA16.html,"http://fieldnotes.makingandknowing.org/mainSpace/Fong,%20Sau-yi%20-%20Field%20Notes%20FA16.html"
http://fieldnotes.makingandknowing.org/mainSpace/Joslyn%20DeVinney%20-%20Field%20Notes%20FA16.html,http://fieldnotes.makingandknowing.org/mainSpace/DeVinney-BMR%20FA16.html,http://fieldnotes.makingandknowing.org/mainSpace/DeVinney%20-%20BMR%20FA16.html
http://fieldnotes.makingandknowing.org/mainSpace/Joslyn%20DeVinney%20-%20Field%20Notes%20FA16.html,http://fieldnotes.makingandknowing.org/mainSpace/DeVinney%20-%20Annotation%20FA16.html,http://fieldnotes.makingandknowing.org/mainSpace/DeVinney%20-%20Annotation%20-%20Smoke%20as%20Medicine%20FA16.html
http://fieldnotes.makingandknowing.org/mainSpace/Ana%20Matisse%20Donefer-Hickie%20-%20Field%20Notes%20FA16.html,http://fieldnotes.makingandknowing.org/mainSpace/Donefer-Hickie%20-%20AP%20FA16.html,http://fieldnotes.makingandknowing.org/mainSpace/Donefer-Hickie%20-%20AP-ForCagesFA16.html
http://fieldnotes.makingandknowing.org/mainSpace/Ana%20Matisse%20Donefer-Hickie%20-%20Field%20Notes%20FA16.html,http://fieldnotes.makingandknowing.org/mainSpace/Donefer-Hickie%20-%20A%20-%20ForCagesFA16.html,http://fieldnotes.makingandknowing.org/mainSpace/Donefer-Hickie%20-%20Annotation%20-%20ForCagesFA16.html
http://fieldnotes.makingandknowing.org/mainSpace/Fall%202016%20Archive.html,http://fieldnotes.makingandknowing.org/mainSpace/Benjamin%20Hiebert%20-%20Field%20Notes%20FA16.html,http://fieldnotes.makingandknowing.org/mainSpace/Hiebert%20-%20Field%20Notes%20FA16.html
http://fieldnotes.makingandknowing.org/mainSpace/Fall%202016%20Archive.html,http://fieldnotes.makingandknowing.org/mainSpace/Charles%20Kang%20-%20Field%20Notes%20FA16.html,"http://fieldnotes.makingandknowing.org/mainSpace/Kang,%20Charles%20-%20Field%20Notes%20FA16.html"
http://fieldnotes.makingandknowing.org/mainSpace/Emma%20Le%20Pouesard%20-%20Field%20Notes%20FA16.html,http://fieldnotes.makingandknowing.org/mainSpace/Bread%20Mold%20Reconstruction.html,?
http://fieldnotes.makingandknowing.org/mainSpace/Emma%20Le%20Pouesard%20-%20Field%20Notes%20FA16.html,http://fieldnotes.makingandknowing.org/mainSpace/Verdigris%20Painting%20Out.html,?
http://fieldnotes.makingandknowing.org/mainSpace/Emma%20Le%20Pouesard%20-%20Field%20Notes%20FA16.html,http://fieldnotes.makingandknowing.org/mainSpace/Annotations%20Plan.html,
http://fieldnotes.makingandknowing.org/mainSpace/Emma%20Le%20Pouesard%20-%20Field%20Notes%20FA16.html,http://fieldnotes.makingandknowing.org/mainSpace/Madder%20for%20Lake.html,
http://fieldnotes.makingandknowing.org/mainSpace/Fall%202016%20Archive.html,http://fieldnotes.makingandknowing.org/mainSpace/Isabella%20Lores-Chavez%20-%20Field%20Notes%20FA16.html,
http://fieldnotes.makingandknowing.org/mainSpace/Caitlyn%20Sellar%20-%20Field%20Notes%20FA16.html,http://fieldnotes.makingandknowing.org/mainSpace/Sellar%20-%20HCR%20FA16.html,
http://fieldnotes.makingandknowing.org/mainSpace/Caitlyn%20Sellar%20-%20Field%20Notes%20FA16.html,http://fieldnotes.makingandknowing.org/mainSpace/Sellar%20-%20BMR%20FA16.html,
http://fieldnotes.makingandknowing.org/mainSpace/Caitlyn%20Sellar%20-%20Field%20Notes%20FA16.html,http://fieldnotes.makingandknowing.org/mainSpace/Sellar%20-%20VR%20FA16.html,
http://fieldnotes.makingandknowing.org/mainSpace/Caitlyn%20Sellar%20-%20Field%20Notes%20FA16.html,http://fieldnotes.makingandknowing.org/mainSpace/Sellar%20-%20AP%20FA16.html,
http://fieldnotes.makingandknowing.org/mainSpace/Caitlyn%20Sellar%20-%20Field%20Notes%20FA16.html,http://fieldnotes.makingandknowing.org/mainSpace/Sellar%20-%20MDR%20FA16.html,
http://fieldnotes.makingandknowing.org/mainSpace/Amy%20Chang%20-%20Field%20Notes%20SP16.html,http://fieldnotes.makingandknowing.org/mainSpace/.htmlOlivia%20Clemens%20-%20Field%20Notes%20SP16,http://fieldnotes.makingandknowing.org/mainSpace/Olivia%20Clemens%20-%20Field%20Notes%20SP16.html
http://fieldnotes.makingandknowing.org/mainSpace/Olivia%20Clemens%20-%20Field%20Notes%20SP16.html,http://fieldnotes.makingandknowing.org/mainSpace/.htmlGoldenberg-%20Verdigris,http://fieldnotes.makingandknowing.org/mainSpace/Goldenberg-%20Verdigris.html
http://fieldnotes.makingandknowing.org/mainSpace/Nisse%2C%20Cleo%202.html,http://fieldnotes.makingandknowing.org/mainSpace/Verdigris%20Cleo.html,
